Title,Character,Max Level,SA Level,Rarity,Type,ID,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Categories,HP,Attack,Defense,Transforms Into,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,Active Skill Name,Active Skill,Activation Condition,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Netherworld Demon,Super Janemba,120/140,15-Jan,UR,Extreme INT,1505,"[""Boost Type"", ""Evasion"", ""Guard"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Spirit Ball,Causes huge damage to enemy,Space Domination,ATK reduced to 0 at start of turn,"[""Movie Bosses"", ""Transformation Boost"", ""Corroded Body and Mind""]","[""5321"", ""7945"", ""10745"", ""14945""]","[""4123"", ""9219"", ""12019"", ""16219""]","[""3657"", ""4222"", ""7022"", ""11222""]",4830,"INT Type Ki +3 and HP, ATK & DEF +90%",Lightning Shower Rain (Extreme),Causes immense damage to enemy and greatly lowers DEF[1],ATK & DEF +70%; guard activated against all attacks; medium chance[2] of evading enemy's attack (including Super Attack) for 1 turn and plus an additional ATK +40% for 4 turns when guard is activated,"[""8262"", ""8580"", ""8897"", ""9215"", ""12015"", ""16215""]","[""9835"", ""10452"", ""11068"", ""11685"", ""14485"", ""18685""]","[""4290"", ""4358"", ""4427"", ""4495"", ""7295"", ""11495""]",Transformation,Transform into Full Power state starting from the 4th turn from the start of battle,Exchange with Super Saiyan Gohan (Youth); Can be activated starting from the 3rd turn from start of battle (once only), Miracle of Universe 7 (Extreme),"Raises DEF for 1 turn[2], causes mega-colossal damage to enemy and lowers ATK & DEF[3]", Final Strategy,Raises ATK for 1 turn[1] and causes mega-colossal damage to enemy,Solar Kamehameha,"Raises ATK by 628% temporarily then causes damage to enemy and, within the turn activated, all attacks become critical hits and stuns the attacked enemy while reducing own DEF by half","Can be activated when there is another ally whose name includes ""Trunks (Teen) (Future)"", ""Trunks (Future)"" or ""Mai (Future)"" attacking in the same turn, starting from the 3rd turn from the start of battle (once only)",,,,,,,
The Supreme Warrior,Super Gogeta,120/140,15-Jan,UR,Super STR,1528,"[""Attack Effective to All"", ""Boost All"", ""Lower ATK"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Galick Gun,Causes supreme damage to enemy,Overwhelming Strike,ATK & DEF +70% when HP is 80% or less; turns into Giant Ape when conditions are met,"[""Fusion"", ""Movie Heroes"", ""Super Saiyans"", ""Otherworld Warriors"", ""Final Trump Card"", ""Connected Hope"", ""Powerful Comeback"", ""Time Limit""]","[""5945"", ""10750"", ""13550"", ""17750""]","[""4761"", ""10200"", ""13000"", ""17760""]","[""3493"", ""4125"", ""6925"", ""10565""]",4831,"All Types Ki +3 and HP, ATK & DEF +77%",Soul Punisher (Extreme),Causes immense damage to enemy and lowers ATK & DEF[1],ATK & DEF +77%; ATK +7% per Rainbow Ki Ki Sphere obtained; attacks effective against all Types,"[""11331"", ""11912"", ""12494"", ""13075"", ""15875"", ""20075""]","[""10858"", ""11516"", ""12174"", ""12832"", ""15632"", ""20392""]","[""4201"", ""4277"", ""4354"", ""4430"", ""7230"", ""10870""]",Transformation,Transforms upon entering attacking turn,Transforms upon entering attacking turn, Maiden Blast (Extreme)[7],Greatly raises ATK for 1 turn[3] and causes colossal damage with a medium chance of stunning the enemy[2], Final Kamehameha,Causes mega-colossal damage to enemy and raises allies’ ATK by 30% for 1 turn,Exchange,"ATK & DEF +50%, attacks effective against all Types and guaranteed to hit for 1 turn","Can be activated when HP is 70% or less, starting from the 4th turn from the start of battle (once only)",,,,,,,
Devastating Punishment,Beerus,120/140,15-Jan,UR,Super TEQ,1530,"[""Boost Type"", ""Lower DEF"", ""Rage"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Super Breath Cannon,Causes destructive damage to enemy,Quivering Anger,-,"[""Realm of Gods"", ""Movie Bosses"", ""Siblings' Bond"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Exploding Rage"", ""Space-Traveling Warriors"", ""Planetary Destruction"", ""Legendary Existence""]","[""3350"", ""8722"", ""11522"", ""15162""]","[""3344"", ""8950"", ""11750"", ""16510""]","[""2309"", ""3785"", ""6585"", ""10785""]",41242,"TEQ Type Ki +3 and HP, ATK & DEF +90%",God of Destruction's Edict (Extreme),Causes immense damage to enemy and greatly lowers DEF[2],ATK & DEF +80% at start of turn; plus an additional ATK +40% for 4 turns after receiving attack; Rages when conditions are met,"[""9372"", ""10022"", ""10672"", ""11322"", ""14122"", ""17762""]","[""9628"", ""10306"", ""10985"", ""11663"", ""14463"", ""19223""]","[""3963"", ""4142"", ""4320"", ""4499"", ""7299"", ""11499""]",Transformation,Fuse with Mr. Buu when HP is 40% or less,"Deactivates transformation when HP is 80% or less, starting from the 3rd turn from the start of battle", Miraculous Romantic Adventure (Extreme),Raises ATK & DEF for 1 turn[2] and causes mega-colossal damage with a medium chance of stunning the enemy[3], Kamehameha & Final Flash,Raises ATK for 1 turn[1] and causes mega-colossal damage to enemy,Transformation,ATK -50% and evades enemy's attack (including Super Attack) for 1 turn,Can be activated starting from the 3rd turn from the start of battle (once only),,,,,,,
Devastating Punishment,Beerus,120/140,15-Jan,UR,Super TEQ,4530,"[""Diverse Super Attack"", ""Premier Super Attack"", ""Rage"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Burning Kamehameha,Causes supreme damage to enemy and raises ATK for 6 turns[1],Heightened Spirit,ATK +100% when performing a Super Attack,"[""Realm of Gods"", ""Movie Bosses"", ""Siblings' Bond"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Exploding Rage"", ""Space-Traveling Warriors"", ""Planetary Destruction"", ""Legendary Existence""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]","[""15000"", ""20000"", ""22800"", ""27560""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]",41265,"TEQ Type Ki +3 and HP, ATK & DEF +90%",Power Flick (Extreme)[4] Cataclysmic Orb (Extreme)[5] God of Destruction's Edict (Extreme)[6],Causes supreme damage to enemyGreatly raises ATK for 1 turn[2] and causes supreme damage to enemyCauses immense damage and stuns the enemy[3],-,"[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]","[""20605"", ""21210"", ""21815"", ""22420"", ""25220"", ""29980""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]",Transformation,Transform starting from the 3rd turn from the start of battle,Exchanges with Majin Buu (Good) upon entering next attacking turn after the character receives damage 5 or more times in battle, Fierce God Slicer (Extreme),Raises ATK & DEF for 1 turn[4] and causes mega-colossal damage to enemy, Soul Punisher,Causes mega-colossal damage to enemy and lowers ATK & DEF[1],Spirit Bomb,Changes  Ki Spheres to  Ki Spheres; attacks effective against all Types for 1 turn,"Can be activated when there is a ""Pure Saiyans"" or ""Universe Survival Saga"" Category enemy (once only)",,,,,,,
Guide to the New Beyond,Whis,120,10-Jan,UR,Super INT,1531,"[""Lower ATK"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","AGL, INT and PHY Type Ki +3, HP, ATK & DEF +20%",Super Kamehameha,Causes supreme damage to enemy,God of Destruction's Master,ATK +5000 when facing only one enemy,"[""Realm of Gods"", ""Siblings' Bond"", ""Bond of Master and Disciple"", ""Space-Traveling Warriors""]","[""2705"", ""8929"", ""10929"", ""13929""]","[""2319"", ""7654"", ""9654"", ""12654""]","[""1553"", ""5128"", ""7128"", ""10128""]",41290,"All Types Ki +3 and HP, ATK & DEF +40%",Super Kamehameha (Extreme),Greatly raises DEF for 1 turn[1] and causes supreme damage to enemy,"Ki +4 and ATK & DEF +70%; plus an additional ATK +70% when there is an ally whose name includes ""Goku (disambiguation)"" (Youth, Captain Ginyu, Jr., etc. excluded) attacking in the same turn","[""9400"", ""10048"", ""10695"", ""11343"", ""13343"", ""16343""]","[""8361"", ""8933"", ""9504"", ""10076"", ""12076"", ""15076""]","[""3854"", ""4073"", ""4292"", ""4511"", ""6511"", ""9511""]",Transformation,Transform upon entering next attacking turn,, Evil Containment Wave (Extreme),"Raises ATK by 628% for 1 turn, causes mega-colossal damage to enemy and seals Super Attack", Special Fighting Assault,Causes mega-colossal damage to enemy and raises Extreme Class allies' ATK by 30% for 1 turn,Ultimate Kamehameha,"ATK & DEF +30%, all enemies' ATK & DEF -30% and stuns all enemies for 1 turn",Can be activated after the character receives attack 5 or more times in battle (once only),,,,,,,
Imprinted Discipline,Whis,120,10-Jan,UR,Super TEQ,1532,"[""Lower ATK"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stun""]","AGL, TEQ and STR Type Ki +2, HP, ATK & DEF +30%",Instant Transmission Kamehameha,Causes supreme damage to enemy,Father's Expectation,DEF +100% at start of turn; ATK +120% and DEF -60% when performing a Super Attack,"[""Realm of Gods"", ""Siblings' Bond"", ""Bond of Master and Disciple"", ""Space-Traveling Warriors""]","[""2733"", ""9021"", ""11021"", ""13621""]","[""2252"", ""7433"", ""9433"", ""12833""]","[""1623"", ""5358"", ""7358"", ""10358""]",41293,"All Types Ki +3 and HP, ATK & DEF +40%",Finish Buster (Extreme),Raises ATK[1] and causes supreme damage to enemy,"Ki +3 and ATK & DEF +70%; plus an additional ATK & DEF +30% per ""Super Saiyans"" Category ally (self excluded) attacking in the same turn","[""9232"", ""9876"", ""10520"", ""11164"", ""13164"", ""16164""]","[""8058"", ""8624"", ""9189"", ""9755"", ""11755"", ""14755""]","[""5015"", ""5281"", ""5547"", ""5812"", ""7812"", ""10812""]",Transformation,Transform upon entering next attacking turn,,,, God of Destruction's Edict,Causes mega-colossal damage to enemy and recovers 12% HP,Final Kamehameha,"Ki +24, ATK +70% and DEF -50% for 1 turn",Can be activated when HP is 50% or less (once only),,,,,,,
Soaring New-Generation,Super Saiyan Gohan (Youth),120/140,15-Jan,UR,Super INT,1539,"[""Boost All"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Explosive Demon Wave,"Causes supreme damage, rare chance to stun the enemy[1]",Assured Victory,Extreme Class Ki +3 and ATK +25%,"[""Hybrid Saiyans"", ""Goku's Family"", ""Youth"", ""Super Saiyans"", ""Androids/Cell Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Rapid Growth"", ""Heavenly Events"", ""Attained Evolution""]","[""3402"", ""8753"", ""10753"", ""13753""]","[""3066"", ""7790"", ""9790"", ""12790""]","[""1828"", ""3636"", ""5636"", ""8636""]",41312,"All Types Ki +3 and HP, ATK & DEF +40%",Instant Transmission Kamehameha (Extreme),Causes supreme damage with a medium chance of stunning the enemy[2],ATK & DEF +77%; Ki +7 plus an additional ATK & DEF +77% when HP is 77% or less,"[""9214"", ""9840"", ""10467"", ""11093"", ""13093"", ""16093""]","[""8038"", ""8616"", ""9195"", ""9773"", ""11773"", ""14773""]","[""4366"", ""4601"", ""4836"", ""5071"", ""7071"", ""10071""]",Absorption,Transform upon entering next attacking turn,,,, Spirit of Saiyans,Causes mega-colossal damage to enemy and seals Super Attack,Rage,"Ki +1, ATK +59% and DEF +78% for 1 turn","Can be activated when there is a ""Majin Buu Saga"" Category ally whose name includes ""Goku"" attacking in the same turn, starting from the 3rd turn from the start of battle (once only)",,,,,,,
Future-Carving Power,Super Saiyan Trunks (Teen),120/140,15-Jan,UR,Super INT,1540,"[""Boost All"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Makosen,Causes supreme damage and lowers DEF[1],Indiscriminant Destruction,All enemies' ATK -25%,"[""Hybrid Saiyans"", ""Future Saga"", ""Time Travelers"", ""Vegeta's Family"", ""Super Saiyans"", ""Androids/Cell Saga"", ""Bond of Master and Disciple"", ""Saviors"", ""Battle of Wits""]","[""3265"", ""8588"", ""10588"", ""13588""]","[""2819"", ""7493"", ""9493"", ""12493""]","[""2554"", ""4750"", ""6750"", ""9750""]",41324,"All Types Ki +3 and HP, ATK & DEF +40%",Final Flash (Extreme),Raises DEF[1] and causes supreme damage to enemy,Ki +3 and ATK & DEF +70%; plus an additional ATK +30% (up to 120%) and chance of performing a critical hit +7% (up to 35%) at start of each turn when HP is 80% or less,"[""9049"", ""9675"", ""10301"", ""10927"", ""12927"", ""15927""]","[""7611"", ""8191"", ""8772"", ""9352"", ""11352"", ""14352""]","[""5028"", ""5306"", ""5584"", ""5862"", ""7862"", ""10862""]",Transformation,Transform starting from the 4th turn from the start of battle,,,, Change the Future,Greatly raises ATK for 1 turn[1] and causes mega-colossal damage to enemy,Gine's Encouragement,Greatly raises ATK temporarily[4] and causes ultimate damage to enemy,Can be activated when HP is 50% or more starting from the 4th turn from the start of battle (once only),,,,,,,
The Return of The Demon,Bio-Broly,120,10-Jan,UR,Extreme TEQ,1544,"[""Boost Type"", ""Debuff"", ""Raise ATK"", ""Raise DEF""]",TEQ Type Ki +1 and ATK & DEF +50% when HP is 30% or above,Heat Dome Attack,"Causes mass damage to all enemies, ATK +20% for all allies for 1 turn",Anger Management,Ki +4 and ATK +5000 when HP is 80% or below,"[""Resurrected Warriors"", ""Movie Bosses"", ""Artificial Life Forms""]","[""3292"", ""8230"", ""9430"", ""10990""]","[""3032"", ""7580"", ""8780"", ""10820""]","[""1814"", ""4535"", ""5735"", ""7535""]",41325,"All Types Ki +3 and HP, ATK & DEF +40%",Hellzone Grenade (Extreme),Causes supreme damage to enemy and greatly lowers DEF[1],"All allies' DEF +77%; Ki +1 and ATK +20% per ""Bond of Master and Disciple"" Category ally on the team","[""9717"", ""10352"", ""10987"", ""11621"", ""13621"", ""16621""]","[""7330"", ""7893"", ""8456"", ""9020"", ""11020"", ""14020""]","[""5766"", ""6077"", ""6388"", ""6699"", ""8699"", ""11699""]",Transformation,Transform starting from the 3rd turn from the start of battle,,,, Decisive Offensive for the Future,Causes mega-colossal damage with a high chance of stunning the enemy[2],Transformation,Causes mega-colossal damage to all enemies,Can be activated when HP is 50% or more starting from the 4th turn from the start of battle (once only),,,,,,,
Leaping Ever Higher,Super Saiyan Goku,120/140,15-Jan,UR,Super AGL,1554,"[""Boost All"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",4x Kaioken Kamehameha,Causes supreme damage and greatly raises ATK[1],Conflicted Heart,Change STR Ki to Rainbow Ki Ki; ATK +40%,"[""Pure Saiyans"", ""Goku's Family"", ""Super Saiyans"", ""Kamehameha"", ""Turtle School""]","[""3411"", ""8588"", ""10588"", ""13588""]","[""2680"", ""7460"", ""9460"", ""12460""]","[""2188"", ""4131"", ""6131"", ""9131""]",41326,"AGL Type Ki +3 and HP, ATK & DEF +100%",Kamehameha (Extreme),Causes supreme damage to enemy and raises ATK & DEF for 6 turns[2],"ATK & DEF +100% at start of turn; plus an additional ATK +100% when performing a Super Attack; chance of performing a critical hit +18%, reduces damage received by 18% and all allies' ATK & DEF +18% when there is an ally whose name includes ""Trunks (disambiguation)"" attacking in the same turn or when ""Krillin (disambiguation)"" or ""Android 18 (disambiguation)"" is on the team","[""9781"", ""10542"", ""11303"", ""12064"", ""14064"", ""16664""]","[""8418"", ""9073"", ""9728"", ""10383"", ""12383"", ""15383""]","[""5360"", ""5777"", ""6194"", ""6611"", ""8611"", ""12011""]",Transformation,Powers up; Can be activated upon entering next attacking turn (once only),,,, Kamehameha,Massively raises ATK & DEF for 1 turn[2] and causes mega-colossal damage to enemy,Evil Containment Wave,Ki +24 for 1 turn,"Can be activated when HP is 60% or less, or starting from the 8th turn from the start of battle (up to 2 times)",,,,,,,
Reclaim the Summit,Super Saiyan Vegeta,120/140,15-Jan,UR,Extreme TEQ,1555,"[""Boost All"", ""Boost Type"", ""Critical Hit"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Super Kamehameha,Causes supreme damage to enemy and raises ATK for 3 turns[1],Namekian Pride,All allies' ATK +33%; turns into Giant Ape when conditions are met,"[""Pure Saiyans"", ""Vegeta's Family"", ""Super Saiyans"", ""Androids/Cell Saga"", ""Gifted Warriors"", ""Attained Evolution""]","[""3248"", ""8423"", ""10423"", ""13423""]","[""2235"", ""7031"", ""9031"", ""12031""]","[""2452"", ""4750"", ""6750"", ""9750""]",41355,"PHY Type Ki +3 and HP, ATK & DEF +100%",Final Cannon (Extreme),Causes supreme damage to enemy and raises ATK & DEF for 6 turns[2],"ATK & DEF +100% at start of turn; plus an additional ATK +100% when performing a Super Attack; chance of performing a critical hit +18%, reduces damage received by 18% and all allies' ATK & DEF +18% when there is an ally whose name includes ""Goten (disambiguation)"" attacking in the same turn or when ""Krillin (disambiguation)"" or ""Android 18 (disambiguation)"" is on the team","[""10479"", ""11294"", ""12109"", ""12924"", ""14924"", ""18324""]","[""8299"", ""8945"", ""9590"", ""10236"", ""12236"", ""15236""]","[""5162"", ""5564"", ""5965"", ""6367"", ""8367"", ""10967""]",Transformation,Perform Potara Fusion starting from the 3rd turn from the start of battle,,,, Final Flash,Massively raises ATK & DEF for 1 turn[2] and causes mega-colossal damage to enemy,Wrath,ATK & DEF +40% and all enemies' ATK & DEF -40% for 1 turn,Can be activated after the character receives attack 4 or more times in battle (once only),,,,,,,
A True Master's Dignity,Piccolo,120/140,15-Jan,UR,Super PHY,1558,"[""Boost All"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Super Flame Cannon,Causes destructive damage to enemy,Innate Intuition,-,"[""Namekians"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Battle of Wits"", ""Gifted Warriors""]","[""3838"", ""9083"", ""11083"", ""14083""]","[""2112"", ""6767"", ""8767"", ""11767""]","[""2887"", ""5456"", ""7456"", ""10456""]",41358,"STR Type Ki +3 and HP, ATK & DEF +90%",Galick Blazer (Extreme),Causes immense damage with a high chance of stunning the enemy[1],Reduces damage received by 80% for 10 turns from start of turn; ATK +120% when the target enemy is stunned,"[""10349"", ""11003"", ""11657"", ""12311"", ""15111"", ""19311""]","[""9136"", ""9716"", ""10296"", ""10786"", ""13586"", ""18436""]","[""4670"", ""4924"", ""5177"", ""5431"", ""8231"", ""11871""]",Special Fusion,Mutates; Can be activated upon entering next attacking turn (once only),,,, Machinery Rain,Causes mega-colossal damage to enemy and raises Extreme Class allies' ATK by 30% for 1 turn,"Watch Out, Nappa!",Ki +12 and ATK +59% for 1 turn,"Can be activated when HP is 58% or less with a ""Movie Heroes"" Category ally whose name includes ""Goku"" (Youth excluded) on the team, starting from the 5th turn from the start of battle (once only)",,,,,,,
